timestamp,attention_score,engagement_index,theta_alpha_ratio,level
2451655.066225,0.084744,0.194992,1.488794,0.000000
2451656.367756,0.085335,0.198020,0.841747,0.000000
2451657.604071,0.070666,0.139076,1.096235,0.000000
2451658.776084,0.068814,0.130428,1.910330,0.000000
2451659.950665,0.087279,0.190724,2.221999,0.000000
2451661.130397,0.089807,0.203502,2.261327,0.000000
2451662.320173,0.095012,0.226110,2.662803,0.000000
2451663.513284,0.095606,0.229562,2.367208,0.000000
2451664.710351,0.093376,0.217687,1.744476,0.000000
2451665.946213,0.074421,0.155014,1.386611,0.000000
2451667.196256,0.070839,0.136213,1.436847,0.000000
2451668.431492,0.062539,0.096224,1.459340,0.000000
2451669.679279,0.066322,0.115213,1.654520,0.000000
2451670.943169,0.070006,0.133956,1.787066,0.000000
2451672.218501,0.077360,0.163855,1.970873,0.000000
2451673.487912,0.090323,0.217687,2.021205,0.000000
2451674.708191,0.092860,0.232208,1.588671,0.000000
2451675.928894,0.090418,0.220496,1.488733,0.000000
2451677.171697,0.086866,0.202510,1.365550,0.000000
2451678.428491,0.078592,0.167942,1.177136,0.000000
2451679.668583,0.065392,0.112685,0.955746,0.000000
2451680.919625,0.066306,0.117313,1.375580,0.000000
2451682.214508,0.065063,0.110592,1.334754,0.000000
2451683.535144,0.066670,0.119252,1.196819,0.000000
2451684.845229,0.072976,0.146823,1.442489,0.000000
2451686.065967,0.080561,0.182922,1.737172,0.000000
2451687.202307,0.082515,0.191982,1.279397,0.000000
2451688.358014,0.081918,0.188530,1.602942,0.000000
2451689.573384,0.078823,0.170874,2.312775,0.000000
2451690.828095,0.069610,0.126342,2.530262,0.000000
2451692.063084,0.062900,0.095368,2.426147,0.000000
2451693.220894,0.059843,0.080694,2.416023,0.000000
2451694.323810,0.060591,0.084991,1.975588,0.000000
2451695.454480,0.067826,0.121338,1.206928,0.000000
2451696.672383,0.074161,0.154448,0.655184,0.000000
2451697.961032,0.076149,0.164956,0.559500,0.000000
2451699.299186,0.079697,0.181754,1.473998,0.000000
2451700.584102,0.079997,0.183409,1.759177,0.000000
2451701.757518,0.073165,0.149609,1.797752,0.000000
2451702.903483,0.067017,0.117715,2.390295,0.000000
2451704.070605,0.065031,0.107215,2.310654,0.000000
2451705.280116,0.060586,0.085531,1.556124,0.000000
2451706.521269,0.063346,0.099315,1.502721,0.000000
2451707.755237,0.063553,0.100587,1.566007,0.000000
2451709.000470,0.070539,0.135976,1.285394,0.000000
2451710.310561,0.079096,0.173739,1.239977,0.000000
2451711.648804,0.080038,0.178862,1.557555,0.000000
2451712.937176,0.081922,0.187058,1.348244,0.000000
2451714.149966,0.087971,0.217233,1.218119,0.000000
2451715.331389,0.082715,0.192228,1.060935,0.000000
2451716.559608,0.072401,0.143799,1.484337,0.000000
2451717.802605,0.075772,0.159792,0.952723,0.000000
2451719.008188,0.071767,0.141230,0.950113,0.000000
2451720.156066,0.066998,0.118496,1.311393,0.000000
2451721.295422,0.073389,0.148005,1.303052,0.000000
2451722.516880,0.089491,0.214778,0.943082,0.000000
2451723.795481,0.089348,0.214159,1.337628,0.000000
2451725.083482,0.090311,0.219041,1.322609,0.000000
2451726.364836,0.090896,0.222213,1.340329,0.000000
2451727.646704,0.083559,0.187201,1.493399,0.000000
