timestamp,CH1_mean,CH1_std,CH1_var,CH1_skew,CH1_kurtosis,CH1_ptp,CH1_zcr,CH1_hjorth_activity,CH1_hjorth_mobility,CH1_hjorth_complexity,CH1_delta_power,CH1_theta_power,CH1_alpha_power,CH1_beta_power,CH1_gamma_power,CH1_delta_rel,CH1_theta_rel,CH1_alpha_rel,CH1_beta_rel,CH1_gamma_rel,CH1_total_power,CH1_spectral_entropy,CH2_mean,CH2_std,CH2_var,CH2_skew,CH2_kurtosis,CH2_ptp,CH2_zcr,CH2_hjorth_activity,CH2_hjorth_mobility,CH2_hjorth_complexity,CH2_delta_power,CH2_theta_power,CH2_alpha_power,CH2_beta_power,CH2_gamma_power,CH2_delta_rel,CH2_theta_rel,CH2_alpha_rel,CH2_beta_rel,CH2_gamma_rel,CH2_total_power,CH2_spectral_entropy,CH3_mean,CH3_std,CH3_var,CH3_skew,CH3_kurtosis,CH3_ptp,CH3_zcr,CH3_hjorth_activity,CH3_hjorth_mobility,CH3_hjorth_complexity,CH3_delta_power,CH3_theta_power,CH3_alpha_power,CH3_beta_power,CH3_gamma_power,CH3_delta_rel,CH3_theta_rel,CH3_alpha_rel,CH3_beta_rel,CH3_gamma_rel,CH3_total_power,CH3_spectral_entropy,CH4_mean,CH4_std,CH4_var,CH4_skew,CH4_kurtosis,CH4_ptp,CH4_zcr,CH4_hjorth_activity,CH4_hjorth_mobility,CH4_hjorth_complexity,CH4_delta_power,CH4_theta_power,CH4_alpha_power,CH4_beta_power,CH4_gamma_power,CH4_delta_rel,CH4_theta_rel,CH4_alpha_rel,CH4_beta_rel,CH4_gamma_rel,CH4_total_power,CH4_spectral_entropy
2451355.609996,0.218371,0.882013,0.777948,-0.323668,-0.541908,3.894711,0.039062,0.777948,0.249379,3.413953,0.138576,0.394292,0.206394,0.050661,0.004410,0.174456,0.496381,0.259833,0.063778,0.005552,0.794333,3.660993,0.210858,0.868029,0.753474,-0.312292,-0.555725,3.797211,0.039062,0.753474,0.250030,3.405547,0.133651,0.382030,0.199945,0.049409,0.004302,0.173722,0.496571,0.259893,0.064222,0.005591,0.769336,3.660306,-0.204449,1.106720,1.224828,0.444720,-1.067606,4.034014,0.062500,1.224828,0.290155,4.403285,0.080560,0.553082,0.271264,0.087608,0.006987,0.080600,0.553358,0.271400,0.087652,0.006990,0.999501,3.576114,0.113572,1.052080,1.106872,0.017405,-1.126720,3.941729,0.050781,1.106872,0.245537,3.245898,0.295057,0.512685,0.220821,0.065546,0.003778,0.268750,0.466975,0.201133,0.059702,0.003441,1.097887,3.569585
2451356.752309,-0.068180,0.964598,0.930450,-0.002877,-0.862873,4.079367,0.066406,0.930450,0.246431,2.537815,0.054507,0.287027,0.415568,0.058876,0.004507,0.066433,0.349826,0.506490,0.071757,0.005493,0.820486,3.375882,-0.098257,0.987592,0.975338,-0.087193,-0.845236,4.053868,0.066406,0.975338,0.241122,2.559057,0.084185,0.335684,0.460016,0.059138,0.004564,0.089218,0.355753,0.487518,0.062674,0.004837,0.943587,3.302421,0.042372,0.865766,0.749551,-0.227934,-0.710257,3.941902,0.062500,0.749551,0.237309,2.775049,0.062303,0.176343,0.362775,0.052320,0.005615,0.094491,0.267447,0.550196,0.079350,0.008516,0.659356,3.332301,0.266858,0.944978,0.892983,-0.519105,-0.576699,4.059160,0.062500,0.892983,0.219736,2.931713,0.125865,0.275139,0.128174,0.051917,0.003859,0.215172,0.470360,0.219118,0.088754,0.006596,0.584954,3.601570
2451357.936046,0.028061,0.903242,0.815846,-0.085387,-0.539953,4.057544,0.070312,0.815846,0.294754,2.564363,0.159377,0.095713,0.522822,0.188556,0.016663,0.162111,0.097355,0.531793,0.191792,0.016949,0.983131,3.859749,0.022118,0.885518,0.784142,-0.081796,-0.529619,3.973176,0.070312,0.784142,0.296001,2.568060,0.154216,0.090701,0.498985,0.180557,0.016517,0.163889,0.096390,0.530285,0.191883,0.017553,0.940976,3.863107,-0.105476,0.898392,0.807108,-0.535292,-0.766578,3.762022,0.062500,0.807108,0.238188,3.048759,0.325066,0.189159,0.253720,0.058678,0.006652,0.390106,0.227007,0.304485,0.070419,0.007983,0.833274,3.557563,-0.123501,0.970688,0.942235,-0.177779,-1.167431,3.929966,0.058594,0.942235,0.237923,3.445233,0.751512,0.133370,0.204346,0.075057,0.015488,0.636997,0.113047,0.173208,0.063620,0.013128,1.179772,3.306833
2451359.194811,-0.107320,1.092940,1.194518,-0.021632,-1.218865,4.183092,0.058594,1.194518,0.206103,2.835786,0.104892,0.921257,0.362114,0.051471,0.003674,0.072670,0.638251,0.250874,0.035659,0.002546,1.443409,3.225511,-0.109421,1.077134,1.160218,-0.024674,-1.211061,4.166372,0.058594,1.160218,0.206791,2.838543,0.099116,0.895992,0.357810,0.050275,0.003614,0.070454,0.636898,0.254342,0.035737,0.002569,1.406807,3.228692,-0.048993,1.005456,1.010942,-0.101035,-1.120834,3.914542,0.066406,1.010942,0.229761,2.701218,0.171558,0.502738,0.459670,0.029502,0.005013,0.146822,0.430249,0.393391,0.025248,0.004290,1.168481,3.518636,-0.093119,0.937389,0.878697,-0.184540,-0.796312,4.006342,0.066406,0.878697,0.262224,2.705344,0.262373,0.192253,0.242472,0.149965,0.005601,0.307710,0.225473,0.284370,0.175878,0.006568,0.852663,3.829827
2451360.481062,0.118526,1.063387,1.130791,0.054166,-1.195050,4.053803,0.058594,1.130791,0.218679,2.515605,0.046583,0.889371,0.105457,0.051621,0.003991,0.042463,0.810713,0.096130,0.047056,0.003638,1.097023,2.391138,0.208989,1.092558,1.193683,-0.081308,-1.309081,3.956210,0.062500,1.193683,0.221280,2.444927,0.010179,1.004906,0.124961,0.038989,0.004244,0.008602,0.849256,0.105606,0.032950,0.003587,1.183278,1.980408,-0.237854,0.928803,0.862675,0.468770,-0.778437,3.683896,0.062500,0.862675,0.211207,2.656825,0.023724,0.716700,0.079803,0.037000,0.004045,0.027545,0.832141,0.092657,0.042960,0.004696,0.861272,2.212139,-0.165623,1.015626,1.031496,0.160070,-0.971908,3.882534,0.078125,1.031496,0.314831,2.999416,0.224309,0.215508,0.277031,0.075272,0.030014,0.272838,0.262132,0.336966,0.091556,0.036507,0.822134,3.959481
2451361.750721,-0.086326,0.974750,0.950137,0.021675,-1.062674,4.023042,0.054688,0.950137,0.270520,2.582001,0.343613,0.259702,0.268121,0.090951,0.003631,0.355701,0.268838,0.277553,0.094150,0.003759,0.966018,3.787231,-0.053245,1.000192,1.000383,0.053225,-1.061782,4.120424,0.054688,1.000383,0.260675,2.648129,0.326243,0.252826,0.263696,0.087407,0.003612,0.349378,0.270755,0.282395,0.093605,0.003868,0.933784,3.804326,-0.000331,1.100494,1.211088,0.006388,-1.235625,3.990575,0.062500,1.211088,0.271497,4.225140,0.422355,0.447229,0.323599,0.042741,0.003713,0.340709,0.360774,0.261043,0.034479,0.002996,1.239638,3.379844,0.022948,0.940264,0.884096,-0.284639,-0.901879,3.738441,0.050781,0.884096,0.298633,2.809723,0.056417,0.174118,0.268086,0.204904,0.011739,0.078876,0.243432,0.374807,0.286473,0.016412,0.715264,4.194269
2451363.020010,-0.097433,0.938226,0.880268,0.050645,-1.026153,3.888771,0.070312,0.880268,0.305517,4.013351,0.107631,0.232632,0.346500,0.090092,0.017234,0.135540,0.292954,0.436348,0.113453,0.021703,0.794090,3.964334,-0.153658,0.938356,0.880512,0.101488,-1.037560,3.766819,0.070312,0.880512,0.311871,3.819867,0.106959,0.220951,0.331336,0.086138,0.016859,0.140322,0.289869,0.434685,0.113006,0.022118,0.762243,3.977889,0.346397,0.923819,0.853442,0.097959,-1.147805,3.658359,0.074219,0.853442,0.262688,2.574422,0.071050,0.448685,0.374257,0.082304,0.009619,0.072065,0.455095,0.379604,0.083480,0.009756,0.985915,3.351607,0.066258,0.992891,0.985832,-0.009599,-1.053578,4.044971,0.074219,0.985832,0.322323,3.043205,0.282842,0.201777,0.185132,0.092421,0.012538,0.365094,0.260455,0.238969,0.119298,0.016184,0.774708,4.029134
2451364.225068,0.362929,1.092369,1.193270,-0.333642,-0.975205,4.212032,0.054688,1.193270,0.245393,2.798430,0.198008,0.592247,0.251781,0.163183,0.014952,0.162279,0.485380,0.206349,0.133737,0.012254,1.220170,3.756585,0.351903,1.075368,1.156416,-0.334385,-0.964959,4.188357,0.054688,1.156416,0.243668,2.786678,0.191510,0.575174,0.244217,0.153887,0.013572,0.162522,0.488114,0.207252,0.130594,0.011517,1.178360,3.735090,-0.208168,1.024332,1.049256,0.271878,-0.914769,3.933982,0.070312,1.049256,0.234050,2.787269,0.091363,0.445006,0.237412,0.060659,0.005646,0.108754,0.529715,0.282604,0.072206,0.006721,0.840087,3.454842,-0.046036,1.010652,1.021418,0.060883,-1.038755,4.015566,0.062500,1.021418,0.315912,4.134247,0.046769,0.641540,0.156244,0.118143,0.005130,0.048324,0.662866,0.161438,0.122071,0.005301,0.967827,3.065912
2451365.380837,-0.458771,0.836777,0.700196,0.291626,-0.919485,3.834147,0.066406,0.700196,0.314351,2.723432,0.102433,0.386239,0.053591,0.085009,0.003593,0.162368,0.612237,0.084948,0.134751,0.005696,0.630865,3.295413,-0.456637,0.816904,0.667333,0.292110,-0.922351,3.720864,0.066406,0.667333,0.315106,2.727661,0.097045,0.368303,0.050966,0.082023,0.003567,0.161230,0.611895,0.084675,0.136273,0.005927,0.601905,3.295389,0.291209,1.023255,1.047050,-0.383629,-1.016550,4.006311,0.054688,1.047050,0.321014,3.991197,0.079885,0.467495,0.158352,0.192824,0.023526,0.086635,0.507000,0.171733,0.209119,0.025513,0.922082,4.021905,-0.029004,1.028181,1.057157,-0.360216,-0.955667,3.948523,0.066406,1.057157,0.298260,4.390447,0.147142,0.663284,0.086200,0.140567,0.006325,0.141006,0.635623,0.082605,0.134705,0.006061,1.043518,3.339423
2451366.534546,0.090142,0.988293,0.976723,-0.018516,-0.899049,4.254095,0.050781,0.976723,0.259070,3.468749,0.117444,0.724846,0.191210,0.051109,0.015495,0.106757,0.658889,0.173811,0.046458,0.014085,1.100103,3.330207,0.077349,0.974453,0.949559,-0.006579,-0.906654,4.101508,0.050781,0.949559,0.260290,3.470463,0.123940,0.714140,0.179115,0.048200,0.014794,0.114740,0.661125,0.165818,0.044622,0.013695,1.080188,3.318778,0.125293,0.895898,0.802633,-0.589314,-0.558828,3.870713,0.046875,0.802633,0.295299,2.941009,0.181065,0.242294,0.356612,0.101863,0.011311,0.202727,0.271282,0.399277,0.114050,0.012664,0.893145,3.865122,-0.012354,1.025579,1.051812,-0.012640,-0.705926,3.940137,0.054688,1.051812,0.282059,3.414023,0.087802,0.715498,0.156397,0.031442,0.004889,0.088152,0.718351,0.157021,0.031567,0.004909,0.996028,2.904983
